,islemci,ekran_karti,ram,depolama,fiyat,satici,url
149,AMD Ryzen 5 5600,NVIDIA RTX 3060,16 GB,500 GB,18273,tebilon.com,https://www.tebilon.com/amd-r5-5600-msi-rtx-3060-ventus-xs-oc-b550m-a-pro-msi-500gb-crucial-16gb/
150,AMD Ryzen 5 5600,NVIDIA RTX 3060,16 GB,500 GB,19896,tebilon.com,https://www.tebilon.com/amd-r5-5600-msi-rtx-3060-gaming-x-12g-b550m-pro-msi-500gb-ssd-crucial-16gb/
151,AMD Ryzen 5 5600,NVIDIA RTX 3060,16 GB,500 GB,20224,tebilon.com,https://www.tebilon.com/amd-r5-5600-asus-tuf-rtx3060-o12g-v2-gaming-prime-b450m-k-ii-wd-500gb-corsair-16gb/
152,AMD Ryzen 3 4100,NVIDIA RTX 3050,16 GB,500 GB,16044,tebilon.com,https://www.tebilon.com/amd-4100-rtx-3050-ventus-xs-oc-b450m-a-pro-max-kingston-500gb-16gb-ram/
153,AMD Ryzen 5 4500,NVIDIA RTX 3050,16 GB,500 GB,15673,tebilon.com,https://www.tebilon.com/amd-r5-4500-msi-rtx-3050-gaming-x-b450m-a-pro-max-kingston-500gb-crucial-16gb/
154,AMD Ryzen 5 3600,NVIDIA RTX 3050,16 GB,500 GB,18012,tebilon.com,https://www.tebilon.com/amd-r5-3600-msi-rtx3050-gaming-x-a320m-a-pro-wd-500gb-crucial-16gb/
155,AMD Ryzen 3 4100,NVIDIA RTX 3050,16 GB,500 GB,15605,tebilon.com,https://www.tebilon.com/amd-r3-4100-msi-rtx-3050-ventus-2x-8g-a320m-a-pro-kingston-500gb-16gb/
156,AMD Ryzen 3 4100,AMD RX 6500-XT,16 GB,480 GB,11564,tebilon.com,https://www.tebilon.com/amd-r3-4100-msi-rx-6500-xt-mech-2x-4g-ocmsi-a320m-a-pro-kioxia-480gb-crucial-16gb/
157,Intel Core I3 12100F,NVIDIA RTX 3050,16 GB,500 GB,18978,tebilon.com,https://www.tebilon.com/intel-12100f-msi-rtx-3050-gaming-x-8g-pro-h610m-g-ddr4-wd-500gb-crucial-16gb/
158,Intel Core I5 12400F,NVIDIA RTX 3060,16 GB,500 GB,21797,tebilon.com,https://www.tebilon.com/intel-12400f-msi-rtx-3060-ventus-oc-pro-h610m-g-ddr4-wd-500gb-crucial-16gb/
159,Intel Core I3 10100F,AMD RX 6500-XT,8 GB,480 GB,11608,tebilon.com,https://www.tebilon.com/intel-10100f-msi-rx-6500-xt-mech-2x-4g-oc-h510m-a-pro-crucial-8gb-kioxia-480gb-/
160,Intel Core I5 11400F,NVIDIA RTX 3050,16 GB,500 GB,18725,tebilon.com,https://www.tebilon.com/intel-11400f-msi-rtx-3050-ventus-2x-8g-h510m-a-pro-corsair-16gb-kingston-500gb/
161,Intel Core I5 11400F,NVIDIA RTX 3050,16 GB,500 GB,18725,tebilon.com,https://www.tebilon.com/intel-11400f-msi-rtx-3050-gaming-x-8g-h510m-pro-e-crucial-16gb-wd-500gb/
162,Intel Core I5 11400F,NVIDIA RTX 3060,16 GB,500 GB,18931,tebilon.com,https://www.tebilon.com/intel-11400f-msi-rtx3060-ventus-2x-12g-oc-b560m-a-pro-kingston-500gb-crucial-16gb/
163,Intel Core I5 11400F,NVIDIA RTX 3050,16 GB,500 GB,18965,tebilon.com,https://www.tebilon.com/intel-11400f-gigabyte-rtx3050-gaming-oc-h510m-h-kingston-500gb-crucial-16gb/
164,AMD Ryzen 5 5600X,NVIDIA RTX 3060 TI,16 GB,500 GB,21858,tebilon.com,https://www.tebilon.com/amd-5600x-rtx-3060-ti-ventus-2x8g-ocv1-lhr-b550m-pro-kingston-500gb-16gb-ram/
165,AMD Ryzen 5 5600X,NVIDIA RTX 3060,16 GB,500 GB,19852,tebilon.com,https://www.tebilon.com/amd-5600x-msi-rtx3060-gaming-x-12g-b550m-a-pro-kingston-16gb-500gb/
